TransactionAmount,TransactionType,Channel,CustomerOccupation,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,Target
3,1,0,0,1.4269073156570646,-0.5482936780522851,-0.2030438623958546,0.008589772267904264,4
0,1,0,0,1.3147767568743516,0.3014103137412613,-0.2030438623958546,2.227059623696785,0
1,1,2,3,-1.4324219333021162,-0.9023370079662628,-0.2030438623958546,-1.0150821628544007,1
4,1,2,3,-1.0399649775626207,-1.3413507370595952,-0.2030438623958546,0.8955081926955731,5
1,1,0,3,-1.4884872126934727,0.7404240428345936,-0.2030438623958546,-1.1024873144482197,1
3,0,0,0,-0.42324690425769945,0.2730868473481431,-0.2030438623958546,2.1136050840109104,0
4,0,1,2,1.258711477482995,2.4256702932251275,-0.2030438623958546,-0.58561490949667,4
1,0,1,1,0.36166700722129136,-0.4774850120694896,-0.2030438623958546,1.0304836884846842,0
2,1,0,0,0.5859281247867173,0.004013916613520047,-0.2030438623958546,-1.0408595884587422,2
3,0,2,1,0.41773228661264783,-0.8598518083765855,-0.2030438623958546,0.6467548810559471,4
4,1,2,3,-1.3202913745194031,0.7545857760311527,-0.2030438623958546,-0.9107973772354034,5
2,0,1,3,-1.1520955363453338,-0.12344168215551192,-0.2030438623958546,-0.8873957748727879,1
2,1,0,3,-1.0399649775626207,0.04649911620319737,-0.2030438623958546,-1.2543732324686652,1
4,1,2,3,-1.4884872126934727,0.20227818136534756,-0.2030438623958546,-1.2260891337464332,5
0,1,0,1,-0.4793121836490559,0.13146951538255203,-0.2030438623958546,-0.41389368966004453,2
2,0,1,3,-1.4324219333021162,0.5421597780827662,-0.2030438623958546,-1.0127961385472972,1
2,1,2,1,-0.31111634547498646,1.6184515010212583,-0.2030438623958546,0.008015059086320515,0
3,0,1,2,0.8101892423521432,-0.19425034813830747,-0.2030438623958546,0.7362587620360856,4
1,0,2,3,-1.4884872126934727,0.6979388432449163,-0.2030438623958546,0.3822508362835395,1
3,1,1,2,1.482972595048421,-1.1572482055043267,-0.2030438623958546,0.17245486816698694,4
1,1,1,0,-0.3671816248663429,-0.37835287969357584,-0.2030438623958546,1.0435815045203332,0
3,1,2,1,-0.31111634547498646,0.004013916613520047,-0.2030438623958546,0.9996416029676355,4
0,1,2,3,-1.2642260951280466,0.3155720469378204,3.2323990064624732,-0.9432045298987296,3
1,1,2,3,-1.3202913745194031,-0.33586768010389856,-0.2030438623958546,-0.8076184013541858,1
3,0,2,2,1.1465809187002822,2.213244295276741,-0.2030438623958546,-0.37050027876662084,4
4,1,0,3,-1.2081608157366903,0.5421597780827662,6.667841875320801,-1.1302813675557972,3
3,1,1,1,-0.42324690425769945,-0.3500294133004576,-0.2030438623958546,-0.6137655926588911,4
1,1,2,0,-0.030789948518204036,1.0944673727485714,-0.2030438623958546,-0.8483871176727871,2
3,1,1,3,-0.9838996981712643,2.3123764276526546,-0.2030438623958546,-0.9562407695220658,5
3,0,2,0,0.8101892423521432,-1.4121594030423907,-0.2030438623958546,0.8353198153439013,4
3,1,0,0,-0.8717691393885513,1.9441713645421177,-0.2030438623958546,1.2173937566917388,4
0,1,0,1,0.2495364484385784,0.6837771100483572,3.2323990064624732,1.1831444430267288,3
2,1,2,3,-1.2642260951280466,0.42886591251029327,-0.2030438623958546,-1.2006709038805818,1
4,0,1,0,0.02527533087315245,-0.9873074071456175,-0.2030438623958546,2.498242143521258,4
1,1,1,1,0.2495364484385784,-1.058116073128413,-0.2030438623958546,0.17600320892649765,2
1,1,1,3,-1.0399649775626207,0.3580572465274977,-0.2030438623958546,-1.0719736364635049,1
2,1,0,0,1.2026461980916385,-0.4208380792832532,1.5146775720333092,0.7276662868346385,0
0,1,2,2,0.5859281247867173,1.3635403034831943,-0.2030438623958546,-1.041498443736485,2
0,1,0,2,1.0344503599175692,-0.01014781658303906,-0.2030438623958546,-0.19372722743651988,2
3,1,2,0,-0.3671816248663429,-1.4263211362389498,-0.2030438623958546,2.343944482685238,0
4,0,2,0,0.6980586835694302,-0.05263301617271638,-0.2030438623958546,2.123947355595573,4
3,1,0,3,-1.4324219333021162,-0.038471282976157276,-0.2030438623958546,-1.2410060196291488,5
0,1,1,3,-0.9838996981712643,-1.2280568714871223,-0.2030438623958546,-1.080183824771845,1
0,1,1,2,1.6511684332224905,-0.4208380792832532,-0.2030438623958546,-0.10402578880021181,2
4,1,1,3,-1.0399649775626207,-0.6332640772316398,-0.2030438623958546,-0.9158107234711836,5
2,1,2,3,-1.4324219333021162,-0.20841208133486658,-0.2030438623958546,-1.1024821830805271,1
2,1,2,3,-1.0399649775626207,0.258925114151584,-0.2030438623958546,-1.2349202175455916,1
3,0,2,1,-0.1989857866922735,0.782909242424271,-0.2030438623958546,-0.9604998047070172,4
0,0,2,2,1.370842036265708,0.018175649810079155,-0.2030438623958546,-0.30049046365109716,2
0,1,2,1,0.36166700722129136,2.0433034969180315,-0.2030438623958546,0.026970331343200704,2
1,1,1,0,1.258711477482995,0.3580572465274977,-0.2030438623958546,2.521084426805367,0
4,1,1,3,-0.9278344187799078,0.3155720469378204,-0.2030438623958546,-1.0672861320762117,5
1,1,0,2,0.9783850805262126,-0.4208380792832532,-0.2030438623958546,-0.154184907996477,2
0,1,1,3,-1.0960302569539773,-0.5199702116591669,-0.2030438623958546,-0.9633374510410874,1
3,0,1,2,0.6980586835694302,-0.9589839407524993,-0.2030438623958546,-0.39609040945017837,4
0,0,1,2,1.3147767568743516,-0.8315283419834673,-0.2030438623958546,-0.11298259110784152,2
0,1,1,1,0.1934711690472219,-1.2988655374699178,-0.2030438623958546,0.14159482286301348,2
1,1,1,3,-1.2081608157366903,-0.9731456739490584,-0.2030438623958546,-1.064356121123673,1
2,1,0,1,0.08134061026450894,0.4571893789034115,-0.2030438623958546,0.10806133499113701,2
4,1,1,2,1.931494830179273,1.5193193686453446,1.5146775720333092,-0.2318635521287594,4
0,1,2,1,0.1934711690472219,1.5051576354487854,-0.2030438623958546,0.40355370925983564,0
