TransactionAmount,TransactionType,Channel,CustomerOccupation,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,Target
Sangat Kecil,Debit,ATM,Doctor,23108.62309019067,412453.1067756993,2.1081050432211517,77680697521.05952,4
Besar,Debit,ATM,Doctor,22472.352258920073,711623.3772812748,2.1081050432211517,209034942218.3963,0
Kecil,Debit,Online,Student,6883.716892790425,287798.8273983762,2.1081050432211517,17069707577.136831,1
Sedang,Debit,Online,Student,9110.664802237518,133227.5209704955,2.1081050432211517,130194595399.0926,5
Kecil,Debit,ATM,Student,6565.581477155127,866194.6837091554,2.1081050432211517,11894501944.809845,1
Sangat Kecil,Credit,ATM,Doctor,12610.154374225807,701651.0349310889,2.1081050432211517,202317368230.03516,0
Sedang,Credit,Branch,Retired,22154.216843284776,1459549.0535452135,2.1081050432211517,42498201298.02747,4
Kecil,Credit,Branch,Engineer,17064.05019311999,437383.962651164,2.1081050432211517,138186412051.73175,0
Sangat Besar,Debit,ATM,Doctor,18336.591855661187,606913.7826043234,2.1081050432211517,15543441953.86536,2
Sangat Kecil,Credit,Online,Engineer,17382.185608755288,302757.34092365496,2.1081050432211517,115466063773.86497,4
Sedang,Debit,Online,Student,7519.987724061023,871180.8548842483,2.1081050432211517,23244346028.763405,5
Sangat Besar,Credit,Branch,Student,8474.393970966921,562038.242028487,2.1081050432211517,24629940609.221165,1
Sangat Besar,Debit,ATM,Student,9110.664802237518,621872.296129602,2.1081050432211517,2901429521.992306,1
Sedang,Debit,Online,Student,6565.581477155127,676720.1790556243,2.1081050432211517,4576113729.312372,5
Besar,Debit,ATM,Engineer,12292.018958590508,651789.3231801596,2.1081050432211517,52665709824.50897,2
Sangat Besar,Credit,Branch,Student,6883.716892790425,796388.2872578545,2.1081050432211517,17205061679.887386,1
Sangat Besar,Debit,Online,Engineer,13246.425205496404,1175337.2965649168,2.1081050432211517,77646669104.65533,0
Sangat Kecil,Credit,Branch,Retired,19609.133518202383,537107.3861530224,2.1081050432211517,120765533891.09651,4
Kecil,Credit,Online,Student,6565.581477155127,851236.1701838765,2.1081050432211517,99804940861.56021,1
Sangat Kecil,Debit,Branch,Retired,23426.758505825972,198047.74624670352,2.1081050432211517,87383049748.30171,4
Kecil,Debit,Branch,Doctor,12928.289789861105,472287.16087681445,2.1081050432211517,138961925738.08597,0
Sangat Kecil,Debit,Online,Engineer,13246.425205496404,606913.7826043234,2.1081050432211517,136360271008.89844,4
Besar,Debit,Online,Student,7838.123139696322,716609.5484563677,2.785940879505593,21325538316.257988,3
Kecil,Debit,Online,Student,7519.987724061023,487245.6744020932,2.1081050432211517,29353510161.32658,1
Sangat Kecil,Credit,Online,Retired,21517.946012014178,1384756.48591882,2.1081050432211517,55235007175.59789,4
Sedang,Debit,ATM,Student,8156.25855533162,796388.2872578545,3.4637767157900337,10248833038.977274,3
Sangat Kecil,Debit,Branch,Engineer,12610.154374225807,482259.5032270003,2.1081050432211517,40831416544.515526,4
Kecil,Debit,Online,Doctor,14837.102283672899,990848.9630864785,2.1081050432211517,26939619372.65497,2
Sangat Kecil,Debit,Branch,Student,9428.800217872817,1419659.6841444704,2.1081050432211517,20553670531.661354,5
Sangat Kecil,Credit,Online,Doctor,19609.133518202383,108296.66509503088,2.1081050432211517,126630878343.62079,4
Sangat Kecil,Debit,ATM,Doctor,10065.071049143415,1290019.2335920543,2.1081050432211517,149253243011.75232,4
Besar,Debit,ATM,Engineer,16427.779361849392,846249.9990087837,2.785940879505593,147225362071.66562,3
Sangat Besar,Debit,Online,Student,7838.123139696322,756498.917857111,2.1081050432211517,6081111592.33123,1
Sedang,Credit,Branch,Doctor,15155.237699308198,257881.80034781861,2.1081050432211517,225091493558.82648,4
Kecil,Debit,Branch,Engineer,16427.779361849392,232950.944472354,2.1081050432211517,87593144837.08289,2
Kecil,Debit,Branch,Student,9110.664802237518,731568.0619816465,2.1081050432211517,13701198178.269348,1
Sangat Besar,Debit,ATM,Doctor,21836.081427649475,457328.6473515357,2.4470229613633725,120256778683.33934,0
Besar,Debit,Online,Retired,18336.591855661187,1085586.2154132442,2.1081050432211517,15505615723.130354,2
Besar,Debit,ATM,Retired,20881.675180743576,601927.6114292304,2.1081050432211517,65701631558.77507,2
Sangat Kecil,Debit,Online,Doctor,12928.289789861105,103310.49391993796,2.1081050432211517,215955623317.16992,0
Sedang,Credit,Online,Doctor,18972.862686931785,586969.0979039515,2.1081050432211517,202929727812.7372,4
Sangat Kecil,Debit,ATM,Student,6883.716892790425,591955.2690790445,2.1081050432211517,3692894028.5359874,5
